UV1,UV2,VIS,NIR
381.5,695.175,8805.05,3418.6
398.5,652.175,8714.05,3327.6
380.5,652.175,8658.05,3423.6
349.5,694.175,8970.05,3493.6
329.5,634.175,8804.05,3405.6
369.5,732.175,8671.05,3342.6
406.5,636.175,8904.05,3513.6
357.5,744.175,9028.05,3459.6
309.5,705.175,8948.05,3436.6
373.5,673.175,9019.05,3452.6
291.5,742.175,9020.05,3484.6
368.5,708.175,9225.05,3516.6
363.5,702.175,9133.05,3591.6
329.5,771.175,9091.05,3527.6
349.5,651.175,9228.05,3465.6
300.5,687.175,9141.05,3551.6
359.5,734.175,9141.05,3589.6
386.5,695.175,9097.05,3595.6
309.5,674.175,9242.05,3517.6
329.5,676.175,9269.05,3522.6
285.5,726.175,9251.05,3531.6
330.5,751.175,9297.05,3602.6
386.5,696.175,9231.05,3595.6
347.5,695.175,9228.05,3574.6
377.5,760.175,9157.05,3650.6
337.5,717.175,9202.05,3529.6
302.5,694.175,9223.05,3636.6
324.5,708.175,9436.05,3639.6
302.5,690.175,9295.05,3642.6
337.5,770.175,9161.05,3684.6
325.5,689.175,9222.05,3616.6
334.5,741.175,9214.05,3631.6
275.5,706.175,9073.05,3693.6
296.5,705.175,9236.05,3750.6
339.5,695.175,9111.05,3677.6
331.5,673.175,9118.05,3685.6
324.5,731.175,9020.05,3687.6
330.5,737.175,9045.05,3838.6
323.5,777.175,9271.05,3824.6
282.5,740.175,9000.05,3788.6
332.5,717.175,9030.05,3760.6
271.5,714.175,9153.05,3781.6
338.5,741.175,9251.05,3878.6
310.5,717.175,9258.05,3853.6
294.5,736.175,9091.05,3927.6
323.5,793.175,9122.05,3851.6
294.5,671.175,9161.05,3798.6
282.5,741.175,9048.05,3796.6
288.5,697.175,9150.05,3912.6
352.5,720.175,9232.05,3859.6
286.5,731.175,9272.05,3929.6
302.5,708.175,9091.05,3930.6
244.5,721.175,9099.05,3985.6
341.5,739.175,9140.05,4043.6
307.5,824.175,9061.05,3987.6
360.5,764.175,9271.05,4056.6
300.5,778.175,9248.05,4088.6
301.5,743.175,9314.05,3962.6
257.5,746.175,9269.05,4067.6
288.5,766.175,9435.05,4169.6
313.5,748.175,9088.05,4071.6
295.5,707.175,9197.05,4141.6
271.5,756.175,9294.05,4176.6
305.5,771.175,9167.05,4291.6
293.5,805.175,9390.05,4480.6
303.5,760.175,9373.05,4743.6
312.5,754.175,9195.05,4980.6
276.5,792.175,9100.05,4835.6
245.5,746.175,9330.05,4629.6
297.5,801.175,9142.05,4649.6
290.5,740.175,9117.05,4609.6
295.5,783.175,9256.05,4695.6
261.5,778.175,9181.05,4575.6
291.5,793.175,9228.05,4892.6
297.5,765.175,9166.05,5312.6
310.5,764.175,9197.05,5812.6
292.5,796.175,9259.05,5767.6
317.5,757.175,9185.05,5583.6
268.5,761.175,9297.05,5253.6
279.5,767.175,9278.05,5139.6
248.5,794.175,9307.05,5185.6
277.5,764.175,9218.05,5063.6
253.5,735.175,9303.05,5091.6
311.5,745.175,9253.05,5084.6
270.5,850.175,9172.05,5095.6
309.5,787.175,9422.05,5142.6
271.5,774.175,9454.05,5335.6
317.5,820.175,9402.05,5997.6
276.5,829.175,9381.05,6757.6
292.5,769.175,9259.05,7085.6
271.5,782.175,9394.05,6720.6
316.5,743.175,9288.05,6271.6
299.5,724.175,9320.05,6052.6
271.5,761.175,9507.05,5848.6
265.5,787.175,9386.05,5836.6
280.5,825.175,9384.05,5643.6
287.5,746.175,9499.05,5437.6
258.5,778.175,9425.05,5433.6
282.5,769.175,9422.05,5309.6
269.5,744.175,9462.05,5125.6
263.5,761.175,9473.05,5235.6
282.5,775.175,9436.05,5154.6
360.5,799.175,9455.05,5100.6
236.5,761.175,9418.05,4996.6
295.5,780.175,9440.05,5050.6
318.5,751.175,9423.05,5019.6
306.5,774.175,9247.05,4998.6
281.5,768.175,9484.05,4923.6
305.5,751.175,9474.05,4857.6
342.5,810.175,9411.05,4780.6
248.5,806.175,9562.05,4853.6
282.5,875.175,9584.05,4916.6
315.5,838.175,9573.05,4883.6
269.5,834.175,9456.05,4876.6
266.5,785.175,9466.05,4703.6
285.5,807.175,9768.05,4870.6
272.5,840.175,9539.05,4829.6
278.5,849.175,9473.05,4869.6
277.5,779.175,9497.05,4815.6
282.5,785.175,9586.05,4719.6
327.5,792.175,9307.05,4832.6
295.5,778.175,9536.05,4750.6
264.5,863.175,9493.05,4704.6
301.5,854.175,9631.05,4869.6
312.5,843.175,9536.05,4731.6
294.5,832.175,9450.05,4789.6
256.5,767.175,9589.05,4678.6
287.5,824.175,9429.05,4805.6
267.5,795.175,9560.05,4608.6
283.5,880.175,9377.05,4715.6
346.5,792.175,9452.05,4768.6
301.5,844.175,9501.05,4784.6
296.5,842.175,9399.05,4712.6
310.5,812.175,9623.05,4679.6
304.5,804.175,9435.05,4801.6
304.5,820.175,9659.05,4843.6
301.5,822.175,9727.05,4765.6
295.5,861.175,9468.05,4771.6
300.5,850.175,9670.05,4751.6
285.5,900.175,9706.05,4788.6
325.5,856.175,9724.05,4811.6
327.5,861.175,9688.05,4820.6
308.5,861.175,9859.05,4803.6
323.5,905.175,9748.05,4883.6
267.5,926.175,9798.05,4713.6
331.5,838.175,9885.05,4815.6
310.5,889.175,10065.05,4811.6
343.5,887.175,10038.05,4847.6
292.5,885.175,10227.05,4845.6
342.5,887.175,10300.05,4908.6
348.5,903.175,10343.05,4751.6
370.5,899.175,10509.05,4835.6
344.5,868.175,10564.05,4883.6
343.5,915.175,10808.05,4786.6
338.5,894.175,10783.05,4689.6
329.5,892.175,10986.05,4753.6
348.5,860.175,10939.05,4783.6
345.5,906.175,10989.05,4901.6
346.5,898.175,11257.05,4820.6
366.5,913.175,11314.05,4896.6
409.5,922.175,11728.05,4822.6
357.5,882.175,11852.05,4915.6
391.5,893.175,11893.05,4934.6
406.5,911.175,12107.05,4749.6
352.5,853.175,12444.05,4809.6
359.5,913.175,12693.05,4854.6
341.5,963.175,12887.05,4815.6
378.5,883.175,13047.05,4962.6
384.5,900.175,13344.05,4786.6
353.5,877.175,13377.05,4908.6
398.5,943.175,13567.05,4820.6
401.5,890.175,13260.05,4997.6
346.5,952.175,13364.05,4826.6
383.5,918.175,13231.05,4992.6
375.5,903.175,12765.05,5021.6
386.5,940.175,12794.05,4991.6
445.5,945.175,12591.05,5120.6
448.5,968.175,12231.05,4940.6
402.5,939.175,12058.05,5035.6
454.5,944.175,11847.05,4818.6
430.5,826.175,11482.05,4955.6
391.5,921.175,11260.05,5085.6
457.5,900.175,11064.05,5089.6
394.5,936.175,10932.05,5101.6
380.5,972.175,10774.05,5124.6
418.5,909.175,10882.05,5181.6
412.5,971.175,10473.05,5284.6
441.5,956.175,10593.05,5250.6
446.5,840.175,10325.05,6252.6
447.5,922.175,10126.05,8033.6
450.5,937.175,10236.05,7522.6
429.5,954.175,10007.05,5817.6
493.5,924.175,9997.05,5328.6
448.5,982.175,9801.05,5301.6
434.5,929.175,9776.05,5208.6
452.5,913.175,9701.05,5166.6
491.5,913.175,9536.05,5162.6
469.5,980.175,9655.05,5187.6
483.5,955.175,9433.05,5258.6
466.5,943.175,9463.05,5223.6
473.5,991.175,9505.05,5426.6
442.5,977.175,9261.05,5328.6
459.5,998.175,9156.05,5389.6
488.5,962.175,9031.05,5464.6
474.5,940.175,8886.05,5485.6
477.5,1002.175,8955.05,5680.6
506.5,985.175,8803.05,6851.6
422.5,993.175,8611.05,7526.6
451.5,931.175,8684.05,6667.6
524.5,1024.175,8606.05,5628.6
497.5,973.175,8554.05,5443.6
486.5,1037.175,8418.05,5551.6
510.5,989.175,8388.05,5546.6
486.5,966.175,8443.05,5703.6
515.5,1014.175,8246.05,5623.6
531.5,1051.175,8276.05,5653.6
494.5,975.175,8170.05,5675.6
548.5,1053.175,8081.05,5852.6
518.5,963.175,8080.05,5753.6
554.5,1097.175,8118.05,5921.6
494.5,998.175,8001.05,5846.6
536.5,1034.175,8026.05,5919.6
529.5,995.175,7959.05,5919.6
524.5,1018.175,7957.05,6088.6
536.5,985.175,7854.05,6132.6
552.5,1053.175,7883.05,6292.6
621.5,1089.175,7830.05,6235.6
535.5,1012.175,7790.05,6371.6
543.5,1087.175,7681.05,6389.6
569.5,1045.175,7852.05,6513.6
535.5,1109.175,7718.05,6513.6
543.5,1069.175,7756.05,6753.6
542.5,1044.175,7600.05,6903.6
504.5,1038.175,7751.05,6894.6
583.5,1069.175,7699.05,7344.6
606.5,1107.175,7560.05,7346.6
548.5,1131.175,7653.05,7782.6
560.5,1082.175,7589.05,8061.6
561.5,1057.175,7440.05,8430.6
558.5,1087.175,7490.05,8993.6
576.5,1052.175,7409.05,9638.6
561.5,1054.175,7481.05,10900.6
571.5,1103.175,7549.05,12016.6
579.5,1173.175,7427.05,14716.6
558.5,1114.175,7416.05,19516.6
571.5,1132.175,7489.05,25024.6
577.5,1087.175,7409.05,27129.6
608.5,1150.175,7457.05,24661.6
584.5,1127.175,7290.05,19701.6
554.5,1125.175,7441.05,16029.6
534.5,1138.175,7275.05,13707.6
665.5,1128.175,7275.05,11984.6
633.5,1173.175,7133.05,11164.6
549.5,1138.175,7208.05,10142.6
626.5,1109.175,7097.05,9780.6
610.5,1155.175,7184.05,9121.6
597.5,1148.175,7274.05,8819.6
629.5,1135.175,7341.05,8407.6
657.5,1193.175,7127.05,8134.6
638.5,1191.175,7383.05,7835.6
598.5,1178.175,7393.05,7478.6
571.5,1172.175,7318.05,7425.6
609.5,1150.175,7253.05,7321.6
605.5,1187.175,7248.05,7048.6
628.5,1176.175,7298.05,6791.6
662.5,1225.175,7291.05,6756.6
626.5,1208.175,7216.05,6550.6
669.5,1231.175,7197.05,6566.6
671.5,1262.175,7227.05,6467.6
627.5,1280.175,7160.05,6399.6
602.5,1247.175,7186.05,6403.6
670.5,1282.175,7221.05,6242.6
687.5,1324.175,7251.05,6164.6
628.5,1267.175,7072.05,6107.6
634.5,1300.175,7341.05,6131.6
666.5,1336.175,7322.05,5887.6
626.5,1289.175,7199.05,5850.6
630.5,1342.175,7320.05,5959.6
689.5,1358.175,7379.05,5819.6
662.5,1358.175,7457.05,5789.6
666.5,1386.175,7506.05,5801.6
662.5,1483.175,7468.05,5750.6
654.5,1453.175,7473.05,5723.6
663.5,1565.175,7616.05,5589.6
654.5,1561.175,7583.05,5720.6
674.5,1721.175,7456.05,5736.6
674.5,1732.175,7633.05,5744.6
634.5,1819.175,7619.05,5663.6
614.5,1803.175,7817.05,5592.6
648.5,1879.175,7858.05,5443.6
636.5,1871.175,8213.05,5465.6
648.5,2012.175,9241.05,5495.6
598.5,2160.175,10558.05,5523.6
676.5,1992.175,10667.05,5395.6
641.5,1792.175,10218.05,5401.6
647.5,1772.175,11931.05,5410.6
609.5,1778.175,14921.05,5475.6
684.5,1764.175,14848.05,5357.6
675.5,1798.175,12090.05,5451.6
685.5,1870.175,11004.05,5430.6
646.5,2018.175,10308.05,5262.6
677.5,2167.175,10119.05,5441.6
657.5,2192.175,10215.05,5464.6
670.5,2089.175,12414.05,5355.6
669.5,1835.175,17169.05,5556.6
680.5,1647.175,17935.05,5538.6
601.5,1614.175,14438.05,5532.6
693.5,1532.175,11952.05,5417.6
624.5,1481.175,10996.05,5487.6
629.5,1438.175,10157.05,5509.6
625.5,1422.175,9724.05,5582.6
639.5,1419.175,9330.05,5597.6
651.5,1368.175,8971.05,5456.6
