UV1,UV2,VIS,NIR
422.93125,446.81250000000006,4865.38125,1752.4875
404.68125,473.3125,4941.63125,1939.7375
385.43125,418.3125,4991.88125,1939.4875
431.18125,426.0625,5054.63125,1965.4875
380.18125,444.8125,5117.88125,2005.9875
411.68125,457.0625,5143.88125,1931.7375
381.68125,475.3125,5097.38125,1989.4875
400.43125,437.5625,5193.38125,2027.2375
378.93125,459.0625,5228.13125,1976.9875
403.43125,474.0625,5291.88125,1989.4875
395.18125,474.81250000000006,5351.88125,1990.4875
394.18125,483.0625,5392.38125,1986.9875
385.43125,444.8125,5394.88125,2025.7375
397.68125,496.56250000000006,5472.38125,2075.7375
368.93125,476.8125,5537.63125,2062.9875
386.18125,525.5625,5603.63125,2022.4875
357.68125,478.5625,5567.38125,2007.9875
391.18125,495.5625,5704.38125,2077.9875
385.93125,505.06250000000006,5680.63125,2021.7375
406.93125,481.56250000000006,5755.63125,2038.9875
390.18125,487.31250000000006,5860.88125,2043.7375
385.43125,540.8125,5893.13125,2040.4875
389.68125,476.81250000000006,5919.38125,2047.4875
385.43125,524.5625,5991.13125,2029.2375
423.43125,508.81250000000006,6003.63125,2052.4875
404.43125,514.8125,6120.38125,2063.4875
366.68125,531.5625,6007.88125,2081.2375
421.43125,513.3125,5922.63125,2092.2375
412.18125,494.8125,5907.88125,2086.4875
401.93125,530.8125,5911.63125,2084.7375
372.93125,498.5625,6012.38125,2090.2375
369.43125,514.8125,6031.13125,2110.4875
397.93125,510.81250000000006,6101.13125,2161.7375
381.43125,502.5625,6185.88125,2097.4875
390.68125,535.3125,6500.13125,2089.7375
375.68125,531.8125,6568.13125,2093.2375
403.43125,527.8125,6625.38125,2173.4875
399.93125,526.3125,6651.38125,2092.2375
397.18125,518.5625,6627.63125,2152.2375
374.93125,536.3125,6759.38125,2163.9875
394.43125,524.5625,6798.13125,2124.2375
412.93125,526.0625,6828.38125,2173.4875
371.18125,526.3125,6820.63125,2170.7375
388.18125,537.3125,7022.63125,2177.2375
361.43125,551.8125,7048.88125,2196.9875
408.43125,546.8125,7154.88125,2186.9875
395.68125,524.5625,7158.13125,2260.9875
390.93125,525.5625,7192.13125,2216.9875
362.93125,479.0625,7203.88125,2187.9875
419.68125,554.5625,7289.13125,2196.2375
393.93125,518.0625,7372.63125,2212.4875
388.43125,555.8125,7383.38125,2196.4875
390.18125,509.8125,7451.88125,2218.9875
412.43125,557.5625,7390.88125,2207.4875
371.18125,519.5625,7547.13125,2198.9875
408.68125,531.5625,7532.13125,2239.2375
399.43125,562.5625,7597.13125,2217.2375
415.93125,516.5625,7647.13125,2251.9875
397.18125,518.3125,7663.13125,2231.4875
383.93125,529.0625,7783.38125,2235.4875
380.68125,527.3125,7760.63125,2289.9875
407.18125,552.0625,7791.13125,2272.9875
368.18125,551.3125,7920.88125,2267.4875
393.43125,553.5625,7868.88125,2284.2375
374.43125,558.5625,8049.38125,2348.2375
406.93125,552.3125,8073.63125,2323.4875
351.18125,536.8125,8176.63125,2285.9875
386.43125,550.5625,8240.88125,2332.7375
379.68125,536.8125,8362.63125,2289.2375
389.68125,549.8125,8309.88125,2353.4875
338.68125,548.8125,8353.13125,2324.9875
409.18125,573.5625,8236.13125,2365.7375
357.68125,553.0625,8185.13125,2328.4875
381.68125,530.8125,8322.13125,2332.4875
373.68125,548.3125,8283.88125,2368.7375
380.68125,544.5625,8316.38125,2364.4875
379.43125,552.8125,8288.88125,2349.9875
397.68125,591.8125,8372.38125,2387.7375
403.68125,559.5625,8590.38125,2378.2375
373.93125,565.5625,8683.63125,2442.9875
347.18125,562.3125,8737.13125,2408.7375
385.18125,546.0625,8737.88125,2388.7375
352.43125,536.8125,8684.63125,2429.4875
