LVL1_M1_P1.txt	LVL1_M1_P2.txt	LVL1_M1_P3.txt	LVL1_M2_P1.txt	LVL1_M2_P2.txt	LVL1_M2_P3.txt	LVL1_M3_P1.txt	LVL1_M3_P2.txt	LVL1_M3_P3.txt	LVL1_M4_P1.txt	LVL1_M4_P2.txt	LVL1_M4_P3.txt	LVL1_M5_P1.txt	LVL1_M5_P2.txt	LVL1_M5_P3.txt	LVL1_M6_P1.txt	LVL1_M6_P2.txt	LVL1_M6_P3.txt	LVL1_M7_P1.txt	LVL1_M7_P2.txt	LVL1_M7_P3.txt	LVL1_M8_P1.txt	LVL1_M8_P2.txt	LVL1_M8_P3.txt	LVL1_M9_P1.txt	LVL1_M9_P2.txt	LVL1_M9_P3.txt	LVL1_M10_P1.txt	LVL1_M10_P2.txt	LVL1_M10_P3.txt	LVL1_M11_P1.txt	LVL1_M11_P2.txt	LVL1_M11_P3.txt	LVL1_M12_P1.txt	LVL1_M12_P2.txt	LVL1_M12_P3.txt	LVL1_M13_P2.txt	LVL1_M13_P3.txt	LVL1_M14_P1.txt	LVL1_M14_P2.txt	LVL1_M14_P3.txt	LVL1_M15_P2.txt	LVL1_M15_P3.txt	LVL1_M16_P1.txt	LVL1_M16_P2.txt	LVL1_M16_P3.txt	LVL1_M17_P1.txt	LVL1_M17_P2.txt	LVL1_M17_P3.txt	LVL1_M18_P1.txt	LVL1_M18_P2.txt	LVL1_M18_P3.txt	LVL1_M19_P1.txt	LVL1_M19_P2.txt	LVL1_M19_P3.txt	LVL1_M20_P1.txt	LVL1_M20_P2.txt	LVL1_M20_P3.txt	LVL1_M21_P1.txt	LVL1_M21_P2.txt	LVL1_M22_P1.txt	LVL1_M22_P2.txt	LVL1_M22_P3.txt	LVL1_M23_P1.txt	LVL1_M23_P2.txt	LVL1_M23_P3.txt	LVL1_M24_P1.txt	LVL1_M24_P2.txt	LVL1_M24_P3.txt	LVL1_M26_P1.txt	LVL1_M26_P2.txt	LVL1_M26_P3.txt	LVL1_M27_P1.txt	LVL1_M27_P2.txt	LVL1_M27_P3.txt
6.754750e+02	3.214187e+02	6.848250e+02	3.969875e+02	3.743438e+02	4.149583e+02	3.772250e+02	2.630500e+02	5.129833e+02	3.913125e+02	4.454375e+02	4.738562e+02	5.691188e+02	7.609562e+02	7.627938e+02	5.279250e+02	4.802750e+02	6.544125e+02	5.554875e+02	4.209875e+02	4.716750e+02	8.441500e+02	9.804437e+02	6.611167e+02	6.986083e+02	9.254187e+02	9.254187e+02	1.077025e+03	9.234083e+02	9.310375e+02	1.011237e+03	8.887125e+02	1.297025e+03	3.253500e+02	3.455938e+02	2.639875e+02	8.643500e+02	7.523625e+02	8.139500e+02	7.080000e+02	6.584375e+02	7.807000e+02	6.864312e+02	7.752000e+02	6.751875e+02	7.307500e+02	6.875375e+02	5.977750e+02	7.780000e+02	6.114917e+02	6.439688e+02	8.585750e+02	7.214000e+02	8.130625e+02	8.761500e+02	5.721250e+02	4.251062e+02	5.952438e+02	8.525750e+02	8.887750e+02	6.936625e+02	7.007563e+02	5.222875e+02	2.534417e+02	1.403250e+02	2.149563e+02	3.171562e+02	3.181625e+02	2.908333e+02	4.204833e+02	3.685250e+02	4.510000e+02	3.775417e+02	4.426500e+02	3.513750e+02
6.954750e+02	2.934187e+02	6.693250e+02	3.564875e+02	3.565938e+02	4.176250e+02	3.942250e+02	2.230500e+02	4.706500e+02	3.568125e+02	4.251875e+02	4.768562e+02	5.466187e+02	7.187062e+02	7.417938e+02	5.219250e+02	4.757750e+02	6.831625e+02	5.607375e+02	4.339875e+02	4.644250e+02	7.711500e+02	9.496937e+02	6.691167e+02	6.816083e+02	9.201687e+02	9.201687e+02	1.007025e+03	9.577417e+02	8.370375e+02	9.567375e+02	8.922125e+02	1.276525e+03	3.378500e+02	2.918438e+02	2.529875e+02	9.223500e+02	7.758625e+02	8.119500e+02	7.133333e+02	6.834375e+02	8.080333e+02	7.074312e+02	7.925333e+02	6.826875e+02	6.877500e+02	6.740375e+02	6.087750e+02	8.640000e+02	6.238250e+02	6.442188e+02	8.680750e+02	7.537333e+02	8.130625e+02	9.081500e+02	5.807917e+02	4.393562e+02	5.679938e+02	9.145750e+02	9.457750e+02	6.926625e+02	7.685063e+02	5.032875e+02	2.394417e+02	1.118250e+02	2.287063e+02	2.836562e+02	2.736625e+02	2.675000e+02	4.341500e+02	3.975250e+02	4.326667e+02	3.268750e+02	4.056500e+02	4.083750e+02
6.834750e+02	3.481687e+02	7.183250e+02	3.659875e+02	3.583438e+02	3.792917e+02	3.862250e+02	2.240500e+02	4.969833e+02	3.818125e+02	4.424375e+02	4.713562e+02	5.628688e+02	7.404562e+02	7.527938e+02	5.514250e+02	4.467750e+02	6.519125e+02	5.327375e+02	4.252375e+02	4.599250e+02	7.691500e+02	9.899437e+02	6.551167e+02	6.966083e+02	8.731687e+02	8.731687e+02	1.025025e+03	8.814083e+02	8.920375e+02	9.917375e+02	9.157125e+02	1.264025e+03	3.246000e+02	2.890938e+02	2.819875e+02	9.313500e+02	7.578625e+02	8.339500e+02	7.266667e+02	6.829375e+02	8.240333e+02	7.346812e+02	7.762000e+02	7.041875e+02	8.087500e+02	6.550375e+02	6.447750e+02	7.980000e+02	6.398250e+02	6.187188e+02	8.930750e+02	7.977333e+02	8.045625e+02	8.821500e+02	5.717917e+02	4.593562e+02	5.729938e+02	8.465750e+02	8.867750e+02	6.851625e+02	7.467563e+02	5.522875e+02	2.761083e+02	1.118250e+02	2.274563e+02	3.281562e+02	2.906625e+02	3.018333e+02	4.508167e+02	4.305250e+02	4.770000e+02	3.705417e+02	4.286500e+02	3.803750e+02
6.862250e+02	3.106687e+02	6.838250e+02	3.632375e+02	3.355938e+02	3.836250e+02	3.202250e+02	2.640500e+02	4.829833e+02	3.513125e+02	4.234375e+02	4.678562e+02	5.691188e+02	7.267062e+02	7.362938e+02	5.229250e+02	4.617750e+02	6.524125e+02	5.594875e+02	4.349875e+02	4.329250e+02	7.531500e+02	9.619437e+02	6.411167e+02	6.666083e+02	8.851687e+02	8.851687e+02	1.102025e+03	8.624083e+02	8.545375e+02	9.967375e+02	9.064625e+02	1.210025e+03	3.136000e+02	3.030938e+02	2.877375e+02	9.173500e+02	7.803625e+02	7.979500e+02	7.080000e+02	6.769375e+02	7.980333e+02	7.241812e+02	7.945333e+02	7.256875e+02	7.627500e+02	7.005375e+02	6.447750e+02	8.080000e+02	6.628250e+02	6.414688e+02	8.790750e+02	7.647333e+02	8.145625e+02	9.361500e+02	5.464583e+02	4.413562e+02	5.719938e+02	9.285750e+02	8.547750e+02	6.746625e+02	7.342563e+02	5.752875e+02	2.571083e+02	1.248250e+02	2.262062e+02	3.146562e+02	2.796625e+02	3.135000e+02	4.378167e+02	3.735250e+02	4.500000e+02	3.565417e+02	3.991500e+02	4.223750e+02
6.644750e+02	3.059187e+02	6.518250e+02	3.822375e+02	3.633438e+02	4.099583e+02	3.642250e+02	2.960500e+02	5.126500e+02	4.108125e+02	4.179375e+02	4.906062e+02	5.641187e+02	7.604562e+02	7.770438e+02	5.394250e+02	5.042750e+02	6.739125e+02	5.772375e+02	4.442375e+02	4.874250e+02	8.281500e+02	9.754437e+02	6.551167e+02	6.939417e+02	9.064187e+02	9.064187e+02	1.024025e+03	8.887417e+02	8.810375e+02	9.962375e+02	8.599625e+02	1.275525e+03	3.198500e+02	3.065938e+02	2.724875e+02	9.043500e+02	7.763625e+02	8.044500e+02	6.926667e+02	6.769375e+02	7.893667e+02	6.714312e+02	7.915333e+02	7.061875e+02	7.117500e+02	6.975375e+02	6.237750e+02	7.790000e+02	5.911583e+02	6.317188e+02	8.935750e+02	7.530667e+02	7.575625e+02	8.901500e+02	5.551250e+02	4.343562e+02	5.612438e+02	9.205750e+02	8.887750e+02	6.771625e+02	7.292563e+02	5.467875e+02	2.311083e+02	1.018250e+02	2.107063e+02	2.986562e+02	2.461625e+02	2.648333e+02	4.041500e+02	3.625250e+02	4.516667e+02	3.532083e+02	3.956500e+02	3.883750e+02
6.689750e+02	3.116687e+02	6.540750e+02	3.652375e+02	3.598438e+02	4.092917e+02	4.022250e+02	2.830500e+02	4.819833e+02	3.505625e+02	4.131875e+02	4.526062e+02	5.531188e+02	7.302062e+02	7.430438e+02	5.244250e+02	4.607750e+02	6.391625e+02	5.489875e+02	4.189875e+02	4.804250e+02	8.031500e+02	9.614437e+02	6.594500e+02	6.822750e+02	8.639187e+02	8.639187e+02	1.101025e+03	8.624083e+02	9.060375e+02	9.492375e+02	8.794625e+02	1.243525e+03	3.491000e+02	3.458438e+02	3.007375e+02	9.193500e+02	7.918625e+02	8.334500e+02	7.766667e+02	7.189375e+02	8.103667e+02	7.586812e+02	8.228667e+02	7.261875e+02	7.827500e+02	7.235375e+02	6.217750e+02	8.770000e+02	6.938250e+02	6.777188e+02	9.595750e+02	8.027333e+02	8.585625e+02	9.291500e+02	5.731250e+02	4.326062e+02	6.042438e+02	9.325750e+02	9.337750e+02	7.336625e+02	7.702563e+02	5.127875e+02	2.321083e+02	1.028250e+02	2.079563e+02	2.954062e+02	2.621625e+02	3.141667e+02	4.391500e+02	4.385250e+02	4.640000e+02	3.735417e+02	4.311500e+02	4.093750e+02
6.739750e+02	3.424187e+02	6.868250e+02	3.787375e+02	3.643438e+02	3.599583e+02	3.292250e+02	2.770500e+02	4.939833e+02	3.643125e+02	4.241875e+02	4.476062e+02	5.526188e+02	7.377062e+02	7.420438e+02	5.159250e+02	4.692750e+02	6.664125e+02	5.567375e+02	4.384875e+02	4.666750e+02	8.271500e+02	9.431937e+02	6.531167e+02	6.686083e+02	8.929187e+02	8.929187e+02	1.038025e+03	8.540750e+02	8.790375e+02	9.832375e+02	8.749625e+02	1.270525e+03	3.103500e+02	2.830938e+02	2.612375e+02	8.543500e+02	7.543625e+02	8.024500e+02	7.020000e+02	6.889375e+02	7.897000e+02	6.986812e+02	7.815333e+02	6.651875e+02	7.237500e+02	6.620375e+02	6.207750e+02	8.060000e+02	5.981583e+02	5.974688e+02	8.740750e+02	7.387333e+02	7.655625e+02	8.751500e+02	5.451250e+02	4.481062e+02	5.784938e+02	8.515750e+02	9.277750e+02	6.991625e+02	7.205063e+02	5.422875e+02	2.714417e+02	1.223250e+02	2.399563e+02	3.086562e+02	2.711625e+02	3.255000e+02	4.051500e+02	3.925250e+02	4.640000e+02	3.452083e+02	4.091500e+02	3.943750e+02
6.682250e+02	3.076687e+02	6.360750e+02	3.792375e+02	3.620938e+02	3.992917e+02	3.932250e+02	2.780500e+02	4.863167e+02	3.743125e+02	4.454375e+02	4.446062e+02	5.561188e+02	7.437062e+02	7.692938e+02	5.279250e+02	4.972750e+02	6.586625e+02	5.497375e+02	4.104875e+02	4.461750e+02	7.401500e+02	9.469437e+02	6.694500e+02	6.649417e+02	9.041687e+02	9.041687e+02	1.085025e+03	8.614083e+02	9.050375e+02	1.011737e+03	8.987125e+02	1.279525e+03	3.333500e+02	3.260938e+02	2.782375e+02	9.213500e+02	7.658625e+02	7.874500e+02	7.063333e+02	6.544375e+02	7.917000e+02	6.901812e+02	7.695333e+02	7.136875e+02	7.637500e+02	6.835375e+02	5.867750e+02	7.810000e+02	6.074917e+02	6.619688e+02	8.565750e+02	7.547333e+02	7.925625e+02	9.161500e+02	5.777917e+02	4.313562e+02	5.809938e+02	8.515750e+02	9.067750e+02	7.366625e+02	7.430063e+02	5.377875e+02	2.531083e+02	1.318250e+02	2.282063e+02	3.129062e+02	2.791625e+02	3.231667e+02	4.384833e+02	3.895250e+02	4.583333e+02	3.568750e+02	4.471500e+02	3.643750e+02
6.637250e+02	3.184187e+02	6.650750e+02	3.814875e+02	3.868438e+02	4.262917e+02	3.872250e+02	3.230500e+02	4.809833e+02	3.983125e+02	4.609375e+02	4.811062e+02	5.941188e+02	7.764562e+02	7.207938e+02	5.459250e+02	4.887750e+02	7.081625e+02	5.662375e+02	4.612375e+02	4.964250e+02	8.011500e+02	9.834437e+02	6.567833e+02	6.932750e+02	8.954187e+02	8.954187e+02	1.075025e+03	9.380750e+02	8.780375e+02	1.004737e+03	8.799625e+02	1.241025e+03	3.413500e+02	3.285938e+02	3.299875e+02	9.083500e+02	7.748625e+02	7.924500e+02	7.083333e+02	7.004375e+02	8.413667e+02	6.969312e+02	8.102000e+02	7.146875e+02	7.607500e+02	7.370375e+02	6.267750e+02	8.500000e+02	6.334917e+02	6.767188e+02	8.885750e+02	8.127333e+02	8.165625e+02	9.231500e+02	5.587917e+02	4.428562e+02	5.749938e+02	9.725750e+02	9.007750e+02	6.891625e+02	7.457563e+02	5.397875e+02	2.774417e+02	1.128250e+02	2.392063e+02	3.281562e+02	2.591625e+02	3.065000e+02	4.118167e+02	4.125250e+02	4.456667e+02	3.608750e+02	4.171500e+02	3.753750e+02
7.007250e+02	3.461687e+02	6.865750e+02	3.654875e+02	3.635938e+02	4.236250e+02	3.892250e+02	2.670500e+02	4.869833e+02	3.653125e+02	4.381875e+02	4.523562e+02	5.386187e+02	7.607062e+02	7.067938e+02	4.964250e+02	4.717750e+02	6.536625e+02	5.399875e+02	4.174875e+02	4.629250e+02	8.551500e+02	9.696937e+02	6.667833e+02	6.752750e+02	8.846687e+02	8.846687e+02	1.074025e+03	8.924083e+02	8.900375e+02	1.017737e+03	9.029625e+02	1.272025e+03	3.423500e+02	3.465938e+02	2.859875e+02	8.833500e+02	7.848625e+02	8.534500e+02	7.273333e+02	6.614375e+02	8.130333e+02	7.201812e+02	8.218667e+02	7.021875e+02	7.397500e+02	7.035375e+02	6.947750e+02	8.010000e+02	6.204917e+02	6.567188e+02	8.680750e+02	7.647333e+02	8.130625e+02	8.541500e+02	6.001250e+02	4.551062e+02	6.007438e+02	8.805750e+02	8.957750e+02	6.596625e+02	7.150063e+02	5.497875e+02	2.857750e+02	1.523250e+02	2.589563e+02	3.174062e+02	3.056625e+02	3.271667e+02	4.221500e+02	3.635250e+02	4.626667e+02	3.738750e+02	4.466500e+02	3.963750e+02
