UV1,UV2,VIS,NIR
316.225,531.75,6929.7,2503.25
321.225,568.75,7090.7,2558.25
337.225,524.75,7169.7,2530.25
326.225,540.75,6980.7,2589.25
345.225,591.75,7058.7,2615.25
382.225,550.75,7027.7,2555.25
349.225,517.75,7129.7,2567.25
313.225,569.75,7159.7,2581.25
321.225,553.75,7314.7,2550.25
337.225,628.75,7189.7,2483.25
329.225,584.75,7386.7,2553.25
403.225,543.75,7451.7,2659.25
357.225,595.75,7544.7,2546.25
343.225,619.75,7345.7,2585.25
339.225,607.75,7315.7,2581.25
337.225,631.75,7427.7,2658.25
362.225,568.75,7294.7,2679.25
337.225,580.75,7470.7,2627.25
340.225,548.75,7449.7,2590.25
294.225,520.75,7392.7,2670.25
315.225,630.75,7594.7,2691.25
327.225,647.75,7543.7,2661.25
329.225,605.75,7483.7,2645.25
274.225,607.75,7501.7,2663.25
343.225,593.75,7506.7,2699.25
338.225,586.75,7489.7,2773.25
292.225,610.75,7424.7,2674.25
343.225,575.75,7466.7,2622.25
287.225,640.75,7413.7,2689.25
272.225,607.75,7325.7,2625.25
323.225,562.75,7453.7,2686.25
332.225,632.75,7320.7,2739.25
256.225,580.75,7181.7,2803.25
270.225,615.75,7273.7,2802.25
272.225,570.75,7345.7,2722.25
306.225,586.75,7331.7,2783.25
300.225,609.75,7312.7,2777.25
344.225,597.75,7259.7,2803.25
269.225,578.75,7371.7,2745.25
278.225,622.75,7229.7,2821.25
293.225,538.75,7262.7,2795.25
316.225,641.75,7206.7,2906.25
306.225,635.75,7192.7,2883.25
315.225,638.75,7330.7,2840.25
299.225,584.75,7159.7,2888.25
317.225,620.75,7339.7,2827.25
268.225,591.75,7373.7,2805.25
267.225,554.75,7142.7,2883.25
290.225,644.75,7181.7,3010.25
304.225,679.75,7424.7,2938.25
233.225,647.75,7308.7,2971.25
288.225,544.75,7301.7,3000.25
252.225,624.75,7463.7,3051.25
299.225,593.75,7333.7,2957.25
292.225,654.75,7260.7,2953.25
297.225,624.75,7316.7,3019.25
288.225,631.75,7245.7,3062.25
234.225,623.75,7282.7,3127.25
242.225,635.75,7277.7,3096.25
280.225,634.75,7322.7,3114.25
271.225,649.75,7252.7,3041.25
294.225,650.75,7417.7,3123.25
261.225,654.75,7589.7,3219.25
281.225,630.75,7365.7,3332.25
280.225,648.75,7409.7,3585.25
286.225,601.75,7552.7,3740.25
251.225,632.75,7369.7,3941.25
263.225,626.75,7379.7,3935.25
251.225,616.75,7199.7,3666.25
284.225,671.75,7333.7,3744.25
251.225,629.75,7422.7,3610.25
264.225,677.75,7337.7,3580.25
250.225,640.75,7346.7,3683.25
266.225,617.75,7228.7,3869.25
232.225,666.75,7275.7,4286.25
282.225,599.75,7293.7,4869.25
288.225,679.75,7477.7,4934.25
313.225,661.75,7387.7,4627.25
251.225,627.75,7400.7,4408.25
274.225,652.75,7402.7,4101.25
255.225,630.75,7445.7,4132.25
292.225,672.75,7351.7,4187.25
249.225,683.75,7402.7,4077.25
264.225,672.75,7452.7,4092.25
257.225,617.75,7347.7,4098.25
278.225,686.75,7461.7,4090.25
282.225,627.75,7200.7,4329.25
279.225,674.75,7337.7,4872.25
278.225,627.75,7316.7,5918.25
211.225,659.75,7346.7,6185.25
249.225,612.75,7499.7,5913.25
267.225,678.75,7424.7,5398.25
280.225,610.75,7385.7,5134.25
263.225,656.75,7546.7,4989.25
290.225,658.75,7439.7,4664.25
265.225,625.75,7522.7,4588.25
264.225,650.75,7526.7,4525.25
292.225,698.75,7527.7,4405.25
254.225,599.75,7345.7,4232.25
225.225,650.75,7360.7,4210.25
257.225,629.75,7437.7,3994.25
286.225,626.75,7487.7,4128.25
246.225,662.75,7426.7,4052.25
239.225,674.75,7547.7,3992.25
291.225,630.75,7444.7,3899.25
291.225,699.75,7545.7,3871.25
277.225,696.75,7532.7,3866.25
263.225,652.75,7539.7,3848.25
266.225,654.75,7652.7,3718.25
274.225,666.75,7494.7,3749.25
228.225,688.75,7441.7,3687.25
245.225,677.75,7646.7,3747.25
254.225,683.75,7638.7,3650.25
253.225,672.75,7580.7,3675.25
275.225,620.75,7467.7,3740.25
254.225,689.75,7625.7,3631.25
241.225,653.75,7663.7,3645.25
269.225,682.75,7727.7,3669.25
247.225,647.75,7588.7,3731.25
230.225,669.75,7720.7,3510.25
275.225,659.75,7587.7,3627.25
233.225,693.75,7746.7,3672.25
277.225,734.75,7690.7,3560.25
252.225,676.75,7554.7,3583.25
263.225,673.75,7462.7,3433.25
286.225,706.75,7674.7,3477.25
249.225,633.75,7555.7,3560.25
293.225,672.75,7535.7,3556.25
274.225,675.75,7551.7,3581.25
256.225,723.75,7487.7,3564.25
285.225,672.75,7601.7,3482.25
275.225,731.75,7586.7,3596.25
259.225,717.75,7606.7,3500.25
291.225,678.75,7634.7,3502.25
268.225,688.75,7680.7,3484.25
309.225,685.75,7737.7,3507.25
258.225,748.75,7889.7,3516.25
296.225,727.75,7707.7,3538.25
268.225,732.75,7747.7,3425.25
262.225,691.75,7796.7,3530.25
277.225,707.75,7865.7,3511.25
275.225,701.75,7903.7,3536.25
266.225,752.75,7964.7,3437.25
306.225,735.75,8074.7,3536.25
271.225,750.75,8014.7,3469.25
287.225,742.75,8065.7,3631.25
254.225,737.75,8304.7,3466.25
287.225,713.75,8348.7,3574.25
305.225,728.75,8289.7,3588.25
346.225,772.75,8509.7,3570.25
320.225,772.75,8593.7,3487.25
313.225,763.75,8960.7,3551.25
288.225,713.75,8762.7,3489.25
325.225,733.75,9137.7,3546.25
315.225,711.75,9081.7,3647.25
282.225,723.75,9239.7,3539.25
299.225,746.75,9226.7,3503.25
310.225,805.75,9555.7,3504.25
297.225,739.75,9579.7,3629.25
340.225,750.75,9619.7,3629.25
317.225,748.75,9898.7,3505.25
332.225,742.75,10057.7,3589.25
357.225,761.75,10198.7,3634.25
351.225,736.75,10468.7,3626.25
316.225,718.75,10560.7,3584.25
355.225,717.75,10795.7,3576.25
332.225,754.75,10821.7,3718.25
313.225,775.75,11169.7,3637.25
384.225,771.75,11542.7,3649.25
320.225,710.75,11586.7,3732.25
318.225,739.75,11372.7,3656.25
372.225,768.75,11517.7,3699.25
315.225,772.75,11385.7,3702.25
320.225,742.75,11165.7,3672.25
346.225,736.75,10935.7,3772.25
365.225,744.75,10864.7,3690.25
370.225,781.75,10609.7,3719.25
414.225,723.75,10357.7,3657.25
378.225,694.75,10011.7,3694.25
417.225,739.75,9982.7,3680.25
355.225,765.75,9624.7,3689.25
423.225,749.75,9505.7,3801.25
371.225,736.75,9265.7,3822.25
385.225,764.75,9202.7,3819.25
357.225,766.75,9077.7,3792.25
386.225,721.75,8806.7,4044.25
340.225,725.75,8649.7,3966.25
398.225,797.75,8757.7,4321.25
415.225,739.75,8433.7,5987.25
361.225,784.75,8581.7,9162.25
399.225,763.75,8305.7,8666.25
412.225,793.75,8247.7,5233.25
419.225,733.75,8113.7,4310.25
396.225,822.75,8127.7,4069.25
347.225,763.75,7899.7,3969.25
426.225,836.75,7973.7,3927.25
398.225,765.75,7790.7,3980.25
394.225,813.75,7833.7,3971.25
458.225,826.75,7684.7,4048.25
376.225,830.75,7718.7,3970.25
451.225,775.75,7579.7,3963.25
407.225,795.75,7455.7,4068.25
385.225,911.75,7385.7,4087.25
429.225,838.75,7426.7,4168.25
