UV1,UV2,VIS,NIR
365.975,396.625,2643.325,1052.9
312.975,399.625,2644.325,1123.9
312.975,368.625,2660.325,1212.9
355.975,367.625,2812.325,1194.9
287.975,360.625,2803.325,1209.9
331.975,413.625,2810.325,1231.9
315.975,381.625,2812.325,1141.9
353.975,345.625,2826.325,1251.9
292.975,403.625,2928.325,1286.9
336.975,381.625,2876.325,1218.9
312.975,372.625,2931.325,1207.9
338.975,400.625,2924.325,1318.9
255.975,404.625,2885.325,1183.9
323.975,391.625,3040.325,1260.9
333.975,412.625,3008.325,1276.9
321.975,429.625,3052.325,1307.9
312.975,389.625,2996.325,1202.9
282.975,379.625,3059.325,1317.9
302.975,391.625,3064.325,1187.9
341.975,389.625,3126.325,1303.9
297.975,396.625,3130.325,1233.9
319.975,424.625,3206.325,1254.9
310.975,367.625,3160.325,1276.9
320.975,445.625,3368.325,1291.9
341.975,416.625,3281.325,1257.9
331.975,393.625,3315.325,1272.9
314.975,453.625,3207.325,1248.9
346.975,383.625,3146.325,1341.9
301.975,392.625,3088.325,1277.9
319.975,411.625,3273.325,1352.9
314.975,376.625,3294.325,1239.9
326.975,450.625,3340.325,1313.9
324.975,387.625,3301.325,1270.9
319.975,381.625,3368.325,1254.9
302.975,423.625,3429.325,1343.9
302.975,401.625,3611.325,1229.9
294.975,390.625,3556.325,1308.9
371.975,379.625,3605.325,1270.9
330.975,396.625,3688.325,1340.9
286.975,409.625,3623.325,1355.9
330.975,420.625,3716.325,1326.9
356.975,450.625,3794.325,1323.9
274.975,449.625,3753.325,1270.9
312.975,437.625,3882.325,1307.9
310.975,440.625,3762.325,1349.9
328.975,391.625,3902.325,1316.9
283.975,410.625,3839.325,1405.9
256.975,420.625,3891.325,1330.9
331.975,326.625,3935.325,1373.9
334.975,429.625,3959.325,1330.9
351.975,375.625,3995.325,1375.9
320.975,392.625,4154.325,1374.9
301.975,397.625,4100.325,1368.9
306.975,412.625,4108.325,1378.9
314.975,414.625,4176.325,1328.9
368.975,399.625,4178.325,1387.9
325.975,415.625,4169.325,1372.9
347.975,416.625,4262.325,1369.9
312.975,373.625,4292.325,1328.9
332.975,446.625,4268.325,1391.9
301.975,375.625,4239.325,1339.9
321.975,433.625,4335.325,1329.9
308.975,413.625,4265.325,1474.9
355.975,440.625,4330.325,1361.9
325.975,402.625,4406.325,1435.9
379.975,399.625,4466.325,1403.9
299.975,364.625,4516.325,1408.9
323.975,408.625,4607.325,1408.9
306.975,397.625,4537.325,1440.9
315.975,390.625,4649.325,1409.9
302.975,423.625,4613.325,1415.9
372.975,417.625,4668.325,1465.9
314.975,437.625,4572.325,1395.9
406.975,396.625,4697.325,1453.9
306.975,418.625,4655.325,1536.9
296.975,413.625,4671.325,1395.9
339.975,400.625,4474.325,1448.9
360.975,424.625,4670.325,1469.9
362.975,441.625,4797.325,1448.9
348.975,396.625,4786.325,1423.9
345.975,428.625,4854.325,1453.9
324.975,399.625,4857.325,1449.9
291.975,381.625,4745.325,1428.9
316.975,394.625,4783.325,1423.9
301.975,405.625,4749.325,1467.9
311.975,397.625,4777.325,1468.9
341.975,473.625,4809.325,1448.9
322.975,420.625,4643.325,1463.9
309.975,426.625,4566.325,1423.9
307.975,484.625,4613.325,1529.9
336.975,428.625,4595.325,1521.9
313.975,448.625,4613.325,1511.9
320.975,413.625,4550.325,1485.9
323.975,414.625,4557.325,1587.9
320.975,393.625,4553.325,1552.9
345.975,465.625,4460.325,1536.9
375.975,489.625,4475.325,1571.9
355.975,410.625,4583.325,1586.9
296.975,402.625,4359.325,1611.9
375.975,460.625,4593.325,1519.9
299.975,422.625,4506.325,1609.9
318.975,398.625,4436.325,1613.9
268.975,434.625,4372.325,1618.9
275.975,400.625,4356.325,1571.9
310.975,443.625,4487.325,1673.9
332.975,440.625,4389.325,1680.9
284.975,468.625,4420.325,1836.9
313.975,446.625,4516.325,1798.9
292.975,397.625,4438.325,1753.9
346.975,435.625,4462.325,1770.9
331.975,425.625,4507.325,1785.9
299.975,431.625,4500.325,1699.9
299.975,446.625,4404.325,1716.9
317.975,464.625,4411.325,1694.9
334.975,459.625,4431.325,1746.9
354.975,440.625,4570.325,1676.9
308.975,451.625,4460.325,1769.9
332.975,430.625,4530.325,1715.9
357.975,441.625,4442.325,1818.9
330.975,485.625,4666.325,1700.9
328.975,465.625,4547.325,1725.9
369.975,443.625,4590.325,1730.9
325.975,458.625,4629.325,1681.9
335.975,442.625,4687.325,1688.9
318.975,496.625,4709.325,1739.9
345.975,472.625,4698.325,1704.9
281.975,451.625,4743.325,1758.9
325.975,384.625,4693.325,1688.9
326.975,450.625,4668.325,1765.9
390.975,451.625,4647.325,1805.9
301.975,459.625,4703.325,1699.9
343.975,497.625,4710.325,1648.9
371.975,469.625,4659.325,1725.9
378.975,448.625,4650.325,1708.9
380.975,467.625,4666.325,1712.9
367.975,439.625,4692.325,1717.9
280.975,474.625,4639.325,1699.9
324.975,472.625,4582.325,1750.9
344.975,465.625,4627.325,1697.9
315.975,455.625,4557.325,1775.9
382.975,419.625,4648.325,1816.9
339.975,476.625,4594.325,1695.9
349.975,457.625,4369.325,1760.9
373.975,500.625,4648.325,1758.9
322.975,473.625,4611.325,1703.9
334.975,441.625,4428.325,1803.9
378.975,465.625,4515.325,1683.9
301.975,484.625,4495.325,1747.9
335.975,467.625,4572.325,1784.9
366.975,478.625,4552.325,1769.9
346.975,472.625,4578.325,1715.9
342.975,466.625,4432.325,1773.9
361.975,485.625,4578.325,1829.9
352.975,489.625,4558.325,1791.9
328.975,476.625,4500.325,1766.9
346.975,469.625,4597.325,1797.9
338.975,488.625,4588.325,1742.9
373.975,472.625,4647.325,1854.9
327.975,424.625,4577.325,1793.9
349.975,489.625,4652.325,1784.9
338.975,536.625,4639.325,1822.9
370.975,519.625,4606.325,1874.9
351.975,465.625,4546.325,1764.9
302.975,519.625,4569.325,1788.9
327.975,504.625,4544.325,1809.9
326.975,485.625,4592.325,1832.9
328.975,527.625,4561.325,1842.9
326.975,466.625,4681.325,1889.9
342.975,527.625,4703.325,1859.9
374.975,451.625,4660.325,1866.9
304.975,496.625,4628.325,1785.9
337.975,517.625,4631.325,1840.9
322.975,474.625,4733.325,1830.9
340.975,439.625,4812.325,1759.9
342.975,497.625,4862.325,1838.9
319.975,483.625,4740.325,1862.9
299.975,480.625,4788.325,1893.9
306.975,522.625,4759.325,1778.9
327.975,475.625,4758.325,1779.9
320.975,554.625,4891.325,1906.9
300.975,495.625,4828.325,1898.9
366.975,475.625,4808.325,1884.9
350.975,474.625,4952.325,1922.9
312.975,525.625,4767.325,1901.9
299.975,518.625,5002.325,1806.9
305.975,457.625,5026.325,1924.9
320.975,489.625,4998.325,1909.9
312.975,518.625,5278.325,1914.9
307.975,514.625,5172.325,1864.9
328.975,480.625,4969.325,1922.9
309.975,504.625,4943.325,1929.9
327.975,514.625,5105.325,1810.9
299.975,464.625,4913.325,1970.9
330.975,488.625,5032.325,1897.9
325.975,527.625,5013.325,1958.9
301.975,473.625,5100.325,1868.9
274.975,502.625,5113.325,1912.9
276.975,547.625,5129.325,1998.9
270.975,497.625,5012.325,1880.9
289.975,521.625,5125.325,1886.9
329.975,498.625,5106.325,1979.9
282.975,480.625,5111.325,1989.9
283.975,467.625,5003.325,1926.9
308.975,518.625,5098.325,1953.9
311.975,506.625,5011.325,1922.9
285.975,504.625,5035.325,2041.9
276.975,451.625,5050.325,1996.9
306.975,533.625,5014.325,2020.9
269.975,506.625,4957.325,1962.9
262.975,546.625,4932.325,1954.9
279.975,461.625,5054.325,2070.9
277.975,515.625,5031.325,2005.9
312.975,536.625,5001.325,2053.9
285.975,522.625,4893.325,2108.9
238.975,502.625,5036.325,1990.9
298.975,538.625,5015.325,2074.9
243.975,487.625,4972.325,2054.9
267.975,515.625,5009.325,2148.9
261.975,504.625,4993.325,2103.9
284.975,522.625,4968.325,2098.9
286.975,490.625,5020.325,2150.9
294.975,509.625,4896.325,2132.9
272.975,503.625,5107.325,2063.9
261.975,487.625,5027.325,2143.9
279.975,592.625,4998.325,2218.9
284.975,562.625,5008.325,2160.9
288.975,528.625,4968.325,2201.9
251.975,541.625,5128.325,2213.9
237.975,535.625,5048.325,2163.9
308.975,581.625,4969.325,2192.9
293.975,476.625,5038.325,2153.9
283.975,599.625,5042.325,2172.9
248.975,554.625,5024.325,2240.9
217.975,531.625,5090.325,2321.9
