UV1,UV2,VIS,NIR
388.375,457.9,4976.45,1839.425
404.375,432.9,4971.45,2109.425
387.375,409.9,5121.45,2109.425
397.375,439.9,5147.45,2128.425
365.375,415.9,5112.45,2139.425
401.375,450.9,5234.45,2180.425
349.375,449.9,5203.45,2171.425
420.375,444.9,5316.45,2093.425
379.375,463.9,5311.45,2206.425
301.375,461.9,5364.45,2180.425
351.375,470.9,5505.45,2208.425
415.375,410.9,5439.45,2198.425
367.375,475.9,5534.45,2255.425
380.375,475.9,5623.45,2259.425
385.375,478.9,5608.45,2218.425
346.375,504.9,5704.45,2262.425
314.375,438.9,5749.45,2257.425
364.375,473.9,5871.45,2258.425
399.375,507.9,5827.45,2116.425
403.375,496.9,5826.45,2145.425
366.375,493.9,5876.45,2225.425
350.375,540.9,5880.45,2255.425
349.375,476.9,6033.45,2205.425
356.375,501.9,6219.45,2234.425
382.375,495.9,6171.45,2323.425
400.375,516.9,6244.45,2255.425
380.375,553.9,6208.45,2282.425
399.375,537.9,6020.45,2321.425
413.375,504.9,6039.45,2219.425
408.375,469.9,6123.45,2334.425
367.375,535.9,6146.45,2358.425
385.375,538.9,6188.45,2383.425
390.375,492.9,6246.45,2261.425
325.375,487.9,6387.45,2304.425
379.375,492.9,6661.45,2327.425
346.375,495.9,6837.45,2319.425
391.375,530.9,6764.45,2300.425
380.375,501.9,6941.45,2325.425
391.375,475.9,6909.45,2358.425
348.375,545.9,7076.45,2336.425
368.375,489.9,7148.45,2426.425
384.375,532.9,7336.45,2368.425
319.375,494.9,7180.45,2367.425
384.375,541.9,7440.45,2363.425
383.375,574.9,7460.45,2508.425
367.375,506.9,7652.45,2427.425
405.375,485.9,7620.45,2416.425
352.375,526.9,7710.45,2362.425
377.375,466.9,7784.45,2388.425
372.375,524.9,7908.45,2334.425
336.375,478.9,7936.45,2376.425
353.375,554.9,7916.45,2348.425
357.375,492.9,8073.45,2339.425
421.375,540.9,7988.45,2468.425
339.375,507.9,8170.45,2367.425
395.375,546.9,8238.45,2518.425
323.375,548.9,8254.45,2408.425
361.375,533.9,8356.45,2450.425
375.375,515.9,8364.45,2456.425
362.375,511.9,8419.45,2490.425
328.375,506.9,8355.45,2433.425
354.375,573.9,8435.45,2496.425
349.375,538.9,8518.45,2471.425
314.375,509.9,8634.45,2474.425
382.375,553.9,8855.45,2455.425
373.375,550.9,8931.45,2497.425
354.375,540.9,8931.45,2568.425
361.375,550.9,9199.45,2532.425
404.375,482.9,9435.45,2519.425
346.375,526.9,9477.45,2474.425
371.375,550.9,9355.45,2483.425
396.375,591.9,9379.45,2550.425
317.375,498.9,9417.45,2642.425
381.375,490.9,9283.45,2584.425
352.375,546.9,9350.45,2553.425
388.375,540.9,9431.45,2608.425
371.375,583.9,9473.45,2619.425
391.375,552.9,9600.45,2601.425
343.375,546.9,9749.45,2728.425
363.375,588.9,9805.45,2725.425
373.375,579.9,9729.45,2650.425
376.375,545.9,9826.45,2678.425
332.375,545.9,9732.45,2675.425
388.375,580.9,9760.45,2600.425
358.375,543.9,9710.45,2685.425
327.375,529.9,9558.45,2619.425
337.375,590.9,9559.45,2619.425
329.375,598.9,9298.45,2734.425
361.375,559.9,9018.45,2634.425
362.375,557.9,8951.45,2675.425
408.375,534.9,9171.45,2722.425
361.375,572.9,8869.45,2742.425
391.375,562.9,8923.45,2727.425
329.375,607.9,8891.45,2693.425
386.375,558.9,8799.45,2768.425
343.375,582.9,8771.45,2767.425
389.375,591.9,8702.45,2835.425
344.375,588.9,8593.45,2814.425
351.375,535.9,8685.45,2787.425
406.375,536.9,8637.45,2840.425
350.375,540.9,8693.45,2904.425
417.375,581.9,8535.45,2930.425
327.375,581.9,8650.45,2975.425
354.375,589.9,8480.45,2966.425
382.375,595.9,8670.45,3054.425
352.375,617.9,8498.45,3130.425
319.375,616.9,8627.45,3231.425
382.375,610.9,8601.45,3360.425
336.375,600.9,8472.45,3183.425
382.375,595.9,8515.45,3271.425
383.375,556.9,8451.45,3209.425
346.375,609.9,8435.45,3116.425
336.375,546.9,8630.45,3072.425
325.375,561.9,8580.45,3092.425
344.375,629.9,8655.45,3076.425
384.375,571.9,8551.45,3095.425
346.375,644.9,8717.45,3106.425
337.375,610.9,8819.45,3100.425
365.375,566.9,8962.45,3142.425
359.375,584.9,8869.45,3034.425
365.375,631.9,8837.45,3060.425
378.375,545.9,8916.45,3071.425
331.375,582.9,8983.45,3058.425
407.375,600.9,9061.45,3021.425
388.375,595.9,8920.45,3019.425
345.375,599.9,9234.45,3118.425
330.375,608.9,9138.45,3000.425
362.375,618.9,9039.45,3049.425
384.375,623.9,9032.45,3081.425
409.375,603.9,9088.45,3106.425
317.375,619.9,9113.45,2993.425
372.375,617.9,9123.45,3172.425
384.375,608.9,9033.45,3061.425
419.375,611.9,8912.45,3059.425
343.375,659.9,8882.45,3023.425
375.375,591.9,8816.45,3101.425
363.375,658.9,8899.45,3196.425
369.375,631.9,8878.45,3183.425
358.375,651.9,8894.45,3094.425
360.375,633.9,8803.45,3104.425
356.375,647.9,8786.45,3113.425
396.375,626.9,8739.45,3096.425
345.375,563.9,8769.45,3024.425
350.375,601.9,8809.45,3129.425
341.375,604.9,8681.45,3128.425
331.375,589.9,8763.45,3229.425
375.375,628.9,8719.45,3044.425
359.375,679.9,8854.45,3196.425
376.375,670.9,8728.45,3117.425
395.375,651.9,8672.45,3146.425
344.375,602.9,8593.45,3099.425
